Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Gds holdings ltd adr,GDS,"",3868906.0,303671000.0,0.0076,0.0082,1339,138440.0,3.711065,addition,2.1680767,Q1 2018,COMMUNICATIONS,"","",59.707
Columbia sportswear co,COLM,"",3081536.0,303100000.0,0.0075,0.0084,1340,139818.0,4.752937,addition,4.6366777,Q2 2002,CONSUMER DISCRETIONARY,"","",54.2276
Insmed inc,INSM,"",10646706.0,303004000.0,0.0075,0.0089,1341,961181.0,9.923892,addition,9.2381900,Q2 2002,HEALTH CARE,"","",53.359
Owens-il inc,OI,"",18544515.0,302833000.0,0.0075,0.0071,1342,750910.0,4.220112,addition,11.7904368,Q2 2002,MATERIALS,"","",22.5956
Dorman products  inc.,DORM,"",2919704.0,302685000.0,0.0075,0.0082,1343,-16899.0,-0.575461,reduction,9.1730202,Q3 2003,CONSUMER DISCRETIONARY,"","",41.22
Acadia realty trust,AKR,"",13754165.0,302043000.0,0.0075,0.0069,1344,283663.0,2.105809,addition,15.5530355,Q2 2002,REAL ESTATE,"","",25.1626
Domtar corp. (dominion tar & chemical),UFS,"",5490035.0,301732000.0,0.0075,0.0053,1345,164185.0,3.082794,addition,10.9018220,Q1 2007,MATERIALS,"","",37.5371
Artisan partners asset management inc,APAM,"",5914524.0,300576000.0,0.0075,0.0081,1346,148362.0,2.572977,addition,9.1217968,Q2 2013,COMMUNICATIONS,"","",39.2185
Wolverine world wide  inc.,WWW,"",8934983.0,300573000.0,0.0075,0.0089,1347,380264.0,4.445079,addition,10.8678981,Q2 2002,CONSUMER DISCRETIONARY,"","",24.1613
Independent bank group inc,IBTX,"",4061957.0,300503000.0,0.0075,0.0078,1348,68752.0,1.721725,addition,9.4095561,Q2 2013,FINANCE,"","",53.9548
Beacon roofing supply inc,BECN,"",5640860.0,300376000.0,0.0075,0.0075,1349,363568.0,6.889291,addition,8.0543762,Q3 2004,INDUSTRIALS,"","",35.3436
Altair engineering inc,ALTR,"",4352432.0,300187000.0,0.0075,0.0072,1350,85025.0,1.992428,addition,9.3459089,Q4 2017,INDUSTRIALS,"","",36.3499
Liveramp holdings inc,RAMP,"",6397863.0,299740000.0,0.0075,0.0089,1351,81221.0,1.285826,addition,9.4194012,Q2 2002,INFORMATION TECHNOLOGY,"","",24.0729
Ormat technologies inc,ORA,"",4302579.0,299158000.0,0.0074,0.0093,1352,-86363.0,-1.967741,reduction,7.6835327,Q4 2004,UTILITIES AND TELECOMMUNICATIONS,"","",49.14
Arcosa inc,ACA,"",5080840.0,298448000.0,0.0074,0.0088,1353,109920.0,2.211261,addition,10.4974248,Q4 2018,INDUSTRIALS,"","",31.062
Kite realty group trust,KRG,"",13551758.0,298274000.0,0.0074,0.007,1354,61922.0,0.459027,addition,16.0287346,Q3 2004,REAL ESTATE,"","",13.4294
Sleep number corp,SNBR,"",2711879.0,298171000.0,0.0074,0.0106,1355,-20704.0,-0.757671,reduction,11.4803107,Q4 2002,CONSUMER DISCRETIONARY,"","",20.31
J & j snack foods corp.,JJSF,"",1700266.0,296543000.0,0.0074,0.0071,1356,32840.0,1.969503,addition,8.9187718,Q2 2002,CONSUMER STAPLES,"","",85.2657
Madison square garden sports corp,MSGS,"",1716358.0,296191000.0,0.0074,0.0081,1357,45132.0,2.700532,addition,8.7626900,Q4 2015,CONSUMER DISCRETIONARY,"","",137.3316
Vir biotechnology  inc.,VIR,"",6262257.0,296079000.0,0.0074,0.0082,1358,324143.0,5.458686,addition,4.7945570,Q4 2019,HEALTH CARE,"","",34.3745
Yelp inc.,YELP,"",7388435.0,295242000.0,0.0073,0.0077,1359,101396.0,1.391457,addition,10.0434155,Q1 2012,INDUSTRIALS,"","",43.0273
Brady corp. class a,BRC,"",5262384.0,294904000.0,0.0073,0.0075,1360,61364.0,1.179845,addition,10.8448080,Q2 2002,INDUSTRIALS,"","",33.407
Spirit airlines inc,SAVE,"",9684912.0,294808000.0,0.0073,0.0086,1361,1047445.0,12.126761,addition,8.9342682,Q2 2011,TRANSPORTS,"","",30.0387
Covetrus inc,CVET,"",10911920.0,294622000.0,0.0073,0.008,1362,982426.0,9.894019,addition,7.9292177,Q1 2019,INFORMATION TECHNOLOGY,"","",27.1001
Stepan co,SCL,"",2441521.0,293641000.0,0.0073,0.0081,1363,79548.0,3.367862,addition,10.8415675,Q2 2002,MATERIALS,"","",58.3842
1life healthcare inc.,ONEM,"",8875967.0,293440000.0,0.0073,0.0083,1364,1037900.0,13.241785,addition,6.4410810,Q1 2020,INFORMATION TECHNOLOGY,"","",30.4373
Pra health sciences inc,PRAH,"",1775342.0,293304000.0,0.0073,0.0248,1365,-4194199.0,-70.259992,reduction,2.7399198,Q4 2014,HEALTH CARE,"","",63.1
Cvb financial corp.,CVBF,"",14243760.0,293278000.0,0.0073,0.0083,1366,318301.0,2.285749,addition,10.4813998,Q2 2002,FINANCE,"","",16.7967
Sprouts farmers market inc,SFM,"",11801261.0,293261000.0,0.0073,0.0094,1367,-1202747.0,-9.249048,reduction,10.3346505,Q3 2013,CONSUMER DISCRETIONARY,"","",31.01
Albany international corp. (de),AIN,"",3282650.0,293009000.0,0.0073,0.0074,1368,3089.0,0.094189,addition,10.6926710,Q2 2002,INDUSTRIALS,"","",43.0435
Casella waste systems inc,CWST,"",4618386.0,292945000.0,0.0073,0.0078,1369,70056.0,1.540258,addition,9.1637690,Q2 2002,INDUSTRIALS,"","",35.8941
Sunnova energy international inc,NOVA,"",7764078.0,292395000.0,0.0073,0.0075,1370,974595.0,14.35448,addition,6.9330946,Q3 2019,ENERGY,"","",35.3689
Nektar therapeutics  inc.,NKTR,"",17005546.0,291815000.0,0.0073,0.009,1371,291715.0,1.745351,addition,9.2521288,Q2 2002,HEALTH CARE,"","",28.4234
Atlantic union bankshares corp,AUB,"",8055465.0,291769000.0,0.0073,0.0081,1372,209031.0,2.664025,addition,10.4745711,Q2 2002,FINANCE,"","",32.8693
Privia health group inc,PRVA,"",6575503.0,291754000.0,0.0073,,1373,6575503.0,,new,6.2183836,Q2 2021, ,"","",44.37
Allakos inc,ALLK,"",3417445.0,291747000.0,0.0073,0.0102,1374,130995.0,3.985912,addition,6.3290169,Q3 2018,HEALTH CARE,"","",71.3681
Spx corp,SPXC,"",4775111.0,291663000.0,0.0073,0.0075,1375,33914.0,0.715305,addition,10.5370551,Q2 2002,INDUSTRIALS,"","",22.9825
Spx flow inc,FLOW,"",4465415.0,291324000.0,0.0072,0.0075,1376,111796.0,2.567887,addition,10.7264811,Q3 2015,INDUSTRIALS,"","",35.6791
Cathay general bancorp  inc.,CATY,"",7396002.0,291107000.0,0.0072,0.008,1377,177449.0,2.458235,addition,9.4625754,Q2 2002,FINANCE,"","",26.5841
Comfort systems usa  inc.,FIX,"",3693102.0,290979000.0,0.0072,0.0073,1378,63150.0,1.739692,addition,10.1723792,Q2 2002,INDUSTRIALS,"","",26.6668
Boise cascade l.l.c.,BCC,"",4985505.0,290904000.0,0.0072,0.0077,1379,246789.0,5.20793,addition,12.6758269,Q1 2013,MATERIALS,"","",33.8652
Group 1 automotive  inc.,GPI,"",1883199.0,290823000.0,0.0072,0.0079,1380,37706.0,2.04314,addition,10.4193486,Q2 2002,CONSUMER DISCRETIONARY,"","",60.0385
Six flags entertainment corp.,SIX,"",6706019.0,290236000.0,0.0072,0.0091,1381,-498446.0,-6.918571,reduction,7.8092452,Q3 2010,COMMUNICATIONS,"","",31.62
Vishay intertechnology  inc.,VSH,"",12866170.0,290133000.0,0.0072,0.0082,1382,350773.0,2.802732,addition,9.6948979,Q2 2002,INFORMATION TECHNOLOGY,"","",14.6416
Kennametal inc.,KMT,"",8071761.0,289938000.0,0.0072,0.0086,1383,134309.0,1.692092,addition,9.6534348,Q2 2002,INDUSTRIALS,"","",31.5047
Rambus inc.,RMBS,"",12208922.0,289474000.0,0.0072,0.0063,1384,224767.0,1.875535,addition,11.2114098,Q2 2002,INFORMATION TECHNOLOGY,"","",13.207
Columbia property trust inc,CXP,"",16642100.0,289406000.0,0.0072,0.0076,1385,181152.0,1.100496,addition,14.4834839,Q4 2013,REAL ESTATE,"","",23.8291
Liberty broadband corp class a,LBRDA,"",1718300.0,288967000.0,0.0072,0.0066,1386,42326.0,2.525457,addition,6.4844761,Q4 2014,COMMUNICATIONS,"","",67.9705
Warner music group corp. class a,WMG,"",8013835.0,288818000.0,0.0072,0.0068,1387,653416.0,8.877429,addition,6.8540271,Q2 2020,COMMUNICATIONS,"","",30.4557
Turning point therapeutics inc,TPTX,"",3701567.0,288797000.0,0.0072,0.0094,1388,9027.0,0.244466,addition,7.4918425,Q2 2019,HEALTH CARE,"","",69.6106
Plexus corp.,PLXS,"",3154001.0,288308000.0,0.0072,0.0077,1389,43282.0,1.391383,addition,11.0302961,Q2 2002,INFORMATION TECHNOLOGY,"","",36.3264
First bancorp (puerto rico),FBP,"",24179680.0,288222000.0,0.0072,0.0073,1390,150064.0,0.624496,addition,11.5969167,Q2 2002,FINANCE,"","",7.3187
Matson inc,MATX,"",4503386.0,288217000.0,0.0072,0.0076,1391,268612.0,6.343007,addition,10.3621637,Q2 2002,REAL ESTATE,"","",36.8426
Sprout social  inc.,SPT,"",3222476.0,288153000.0,0.0072,0.0047,1392,245816.0,8.258115,addition,7.1490950,Q4 2019,INFORMATION TECHNOLOGY,"","",45.0446
Enstar group ltd,ESGR,"",1204561.0,287794000.0,0.0072,0.0082,1393,-28687.0,-2.326134,reduction,7.1775060,Q1 2007,FINANCE,"","",161.65
Nikola corp,NKLA,"",15930936.0,287712000.0,0.0072,0.0054,1394,1478803.0,10.23242,addition,4.0001966,Q3 2020,FINANCE,"","",19.5387
Miller (herman) inc.,MLHR,"",6085712.0,286881000.0,0.0071,0.0066,1395,162303.0,2.740027,addition,10.3056479,Q2 2002,INDUSTRIALS,"","",28.7927
Pacira biosciences inc,PCRX,"",4724929.0,286709000.0,0.0071,0.0085,1396,218398.0,4.846255,addition,10.6286157,Q3 2011,HEALTH CARE,"","",46.5546
Prestige consumer healthcare inc. (prestige brands holdings),PBH,"",5499038.0,286500000.0,0.0071,0.0065,1397,65690.0,1.209015,addition,10.9848965,Q1 2005,HEALTH CARE,"","",31.9536
Allegheny technologies inc,ATI,"",13723243.0,286129000.0,0.0071,0.0076,1398,347962.0,2.60153,addition,10.7848441,Q2 2002,MATERIALS,"","",27.5361
Energizer holdings inc,ENR,"",6640375.0,285403000.0,0.0071,0.0082,1399,277861.0,4.367157,addition,9.7121651,Q2 2002,CONSUMER STAPLES,"","",
Affirm holdings inc,AFRM,"",4229269.0,284841000.0,0.0071,0.0043,1400,1984641.0,88.417368,addition,2.8657663,Q1 2021,INFORMATION TECHNOLOGY,"","",69.1386
Ptc therapeutics inc,PTCT,"",6734630.0,284672000.0,0.0071,0.0082,1401,345774.0,5.412143,addition,9.5384706,Q3 2013,HEALTH CARE,"","",38.7979
Shutterstock inc,SSTK,"",2898493.0,284545000.0,0.0071,0.0065,1402,186139.0,6.862637,addition,7.9144423,Q4 2012,COMMUNICATIONS,"","",59.7468
Mge energy inc. (madison gas & electric),MGEE,"",3821848.0,284498000.0,0.0071,0.0073,1403,29842.0,0.786971,addition,10.5682850,Q2 2002,UTILITIES AND TELECOMMUNICATIONS,"","",34.5936
Amyris inc.,AMRS,"",17376918.0,284461000.0,0.0071,0.0049,1404,7827670.0,81.971586,addition,5.8316464,Q4 2010,MATERIALS,"","",157.969
Firstcash inc,FCFS,"",3705126.0,283219000.0,0.007,0.0066,1405,-6555.0,-0.176605,reduction,9.1593224,Q4 2002,FINANCE,"","",45.03
Marathon digital holdings inc,MARA,"",9015644.0,282821000.0,0.007,0.0098,1406,1460879.0,19.337187,addition,9.0487513,Q4 2014,INDUSTRIALS,"","",41.987
Arvinas holding company llc,ARVN,"",3671612.0,282714000.0,0.007,0.0046,1407,1108848.0,43.267659,addition,7.4632483,Q4 2018,HEALTH CARE,"","",58.1611
R1 rcm inc,RCM,"",12644446.0,281212000.0,0.007,0.0068,1408,2494228.0,24.573147,addition,4.5341652,Q2 2017,HEALTH CARE,"","",15.3685
American assets trust inc,AAT,"",7533946.0,280941000.0,0.007,0.0067,1409,-79142.0,-1.039552,reduction,12.4585559,Q1 2011,REAL ESTATE,"","",33.43
Acadia pharmaceuticals inc,ACAD,"",11518317.0,280932000.0,0.007,0.0076,1410,657142.0,6.050377,addition,7.1701205,Q3 2004,HEALTH CARE,"","",24.3334
Cadence bancorp,CADE,"",13407888.0,279957000.0,0.007,0.0074,1411,186931.0,1.413899,addition,10.7454065,Q2 2017,FINANCE,"","",22.5563
Bloomin brands inc,BLMN,"",10284125.0,279110000.0,0.0069,0.0069,1412,887995.0,9.450646,addition,11.5261505,Q3 2012,CONSUMER DISCRETIONARY,"","",21.722
Global net lease inc,GNL,"",15077091.0,278926000.0,0.0069,0.007,1413,762490.0,5.326659,addition,15.0332582,Q3 2015,REAL ESTATE,"","",102.7902
Mp materials corp,MP,"",7564292.0,278819000.0,0.0069,0.0049,1414,2513449.0,49.76296,addition,4.2556367,Q4 2020,FINANCE,"","",33.7284
Intra-cellular therapies inc,ITCI,"",6828437.0,278737000.0,0.0069,0.0062,1415,106744.0,1.588052,addition,8.3947670,Q1 2014,HEALTH CARE,"","",25.4146
Kodiak sciences inc,KOD,"",2988161.0,277899000.0,0.0069,0.009,1416,50665.0,1.724768,addition,5.8077192,Q4 2018,HEALTH CARE,"","",62.3192
Churchill cap iii corp,MPLN,"",29190563.0,277893000.0,0.0069,0.0041,1417,2069882.0,7.632117,addition,4.3690771,Q4 2020,FINANCE,"","",8.0985
Mednax inc,MD,"",9214541.0,277819000.0,0.0069,0.0062,1418,212757.0,2.363498,addition,10.6765033,Q2 2002,HEALTH CARE,"","",38.1021
Irobot corp,IRBT,"",2972062.0,277562000.0,0.0069,0.01,1419,-46714.0,-1.547448,reduction,10.5786177,Q4 2005,CONSUMER DISCRETIONARY,"","",49.18
Allscripts healthcare solutions inc,MDRX,"",14984012.0,277354000.0,0.0069,0.0065,1420,-945924.0,-5.938028,reduction,11.9861675,Q2 2002,HEALTH CARE,"","",14.33
Vanguard long-term corporate bond etf,VCLT,"",2585714.0,276516000.0,0.0069,0.008,1421,-348568.0,-11.879158,reduction,No Data,Q4 2017,FINANCE,"","",102.08
Aaon  inc,AAON,"",4407135.0,275843000.0,0.0069,0.0083,1422,39879.0,0.913136,addition,8.4099638,Q2 2002,INDUSTRIALS,"","",21.2673
Bancorpsouth bank,BXS,"",9720038.0,275369000.0,0.0069,0.0086,1423,-78170.0,-0.797799,reduction,9.4694636,Q2 2002,FINANCE,"","",24.22
Api group corp,APG,"",13158361.0,274879000.0,0.0068,0.0067,1424,1222088.0,10.238439,addition,6.5226191,Q2 2020,INDUSTRIALS,"","",13.0434
Sage therapeutics inc,SAGE,"",4824810.0,274097000.0,0.0068,0.0096,1425,66772.0,1.403352,addition,8.2039034,Q3 2014,HEALTH CARE,"","",90.369
Grocery outlet holding corp,GO,"",7903563.0,273938000.0,0.0068,0.0076,1426,253560.0,3.314509,addition,8.2397039,Q2 2019,CONSUMER STAPLES,"","",36.1603
Myriad genetics inc,MYGN,"",8950820.0,273716000.0,0.0068,0.0071,1427,326155.0,3.781654,addition,11.4672707,Q2 2002,HEALTH CARE,"","",28.3831
Algonquin power & utilities,AQN,"",18394546.0,273711000.0,0.0068,0.0077,1428,434087.0,2.416904,addition,2.9786792,Q4 2016,UTILITIES AND TELECOMMUNICATIONS,"","",11.0525
Hyatt hotels corp,H,"",3524924.0,273675000.0,0.0068,0.0077,1429,88840.0,2.585501,addition,8.5613401,Q4 2009,CONSUMER DISCRETIONARY,"","",52.9679
Welbilt inc,WBT,"",11815942.0,273539000.0,0.0068,0.0051,1430,244620.0,2.114019,addition,8.3128705,Q1 2016,INDUSTRIALS,"","",15.962
Empire state realty trust inc,ESRT,"",22793800.0,273525000.0,0.0068,0.0067,1431,501135.0,2.247982,addition,13.2206107,Q4 2013,REAL ESTATE,"","",17.829
Masonite international corp,DOOR,"",2445174.0,273346000.0,0.0068,0.0074,1432,71273.0,3.002358,addition,10.1495872,Q4 2013,CONSUMER DISCRETIONARY,"","",65.4804
Newmark group inc,NMRK,"",22742714.0,273140000.0,0.0068,0.0058,1433,1283844.0,5.982813,addition,13.0469456,Q4 2017,REAL ESTATE,"","",8.9623
Bok financial corp,BOKF,"",3153694.0,273110000.0,0.0068,0.0076,1434,25876.0,0.827286,addition,4.5653798,Q2 2002,FINANCE,"","",61.9043
Bausch health companies,BHC,"",9307234.0,272887000.0,0.0068,0.0079,1435,96748.0,1.050411,addition,2.5969161,Q1 2015,HEALTH CARE,"","",92.249
Independent bank corp. (ma),INDB,"",3608961.0,272476000.0,0.0068,0.0083,1436,-40304.0,-1.104442,reduction,10.9215249,Q2 2002,FINANCE,"","",53.59
Industrial logistics properties trust,ILPT,"",10412374.0,272179000.0,0.0068,0.0064,1437,143083.0,1.393309,addition,15.9419380,Q1 2018,REAL ESTATE,"","",20.1633
Medallia inc,MDLA,"",8038201.0,271289000.0,0.0068,0.0061,1438,-73287.0,-0.903496,reduction,5.0685316,Q3 2019,INFORMATION TECHNOLOGY,"","",26.61
Sanmina corp.,SANM,"",6962160.0,271246000.0,0.0068,0.0076,1439,173041.0,2.548799,addition,10.6953962,Q2 2002,INFORMATION TECHNOLOGY,"","",76.6201
2u  inc,TWOU,"",6499533.0,270836000.0,0.0067,0.0072,1440,-455506.0,-6.549295,reduction,8.7105330,Q2 2014,CONSUMER DISCRETIONARY,"","",42.52
Wiley (john) & sons inc class a,JW.A,"",4497843.0,270679000.0,0.0067,0.0064,1441,160713.0,3.705515,addition,9.6107155,Q2 2002,COMMUNICATIONS,"","",46.526
Cannae holdings inc,CNNE,"",7975821.0,270460000.0,0.0067,0.0091,1442,-473897.0,-5.608436,reduction,8.9689676,Q4 2017,FINANCE,"","",23.54
Cheesecake factory  inc. (the),CAKE,"",4978928.0,269758000.0,0.0067,0.0068,1443,663896.0,15.385656,addition,10.6935739,Q2 2002,CONSUMER DISCRETIONARY,"","",38.7708
Pagerduty inc,PD,"",6324608.0,269303000.0,0.0067,0.0059,1444,892951.0,16.439753,addition,7.5615347,Q2 2019,INFORMATION TECHNOLOGY,"","",35.3574
Shoals technologies group inc cl a,SHLS,"",7578151.0,269024000.0,0.0067,0.007,1445,115608.0,1.549177,addition,7.2903534,Q1 2021,ENERGY,"","",34.791
Bumble inc,BMBL,"",4669642.0,268972000.0,0.0067,0.0079,1446,-6399.0,-0.136847,reduction,3.8978961,Q1 2021,INFORMATION TECHNOLOGY,"","",62.38
Sally beauty holdings inc,SBH,"",12139800.0,267925000.0,0.0067,0.0064,1447,382494.0,3.253245,addition,10.7400095,Q4 2006,CONSUMER DISCRETIONARY,"","",18.1767
Red rock resorts inc,RRR,"",6302665.0,267863000.0,0.0067,0.0056,1448,820.0,0.013012,addition,8.9560092,Q2 2016,CONSUMER DISCRETIONARY,"","",24.5923
Mantech international corp,MANT,"",3093814.0,267738000.0,0.0067,0.0074,1449,-55525.0,-1.763068,reduction,11.2461645,Q2 2002,INFORMATION TECHNOLOGY,"","",40.23
Hamilton lane inc,HLNE,"",2936656.0,267589000.0,0.0067,0.007,1450,30519.0,1.050157,addition,8.0922348,Q2 2017,FINANCE,"","",51.219
Gentherm inc.,THRM,"",3761972.0,267287000.0,0.0067,0.0075,1451,32246.0,0.864568,addition,11.3467563,Q2 2006,CONSUMER DISCRETIONARY,"","",37.3712
Werner enterprises  inc.,WERN,"",5989894.0,266670000.0,0.0066,0.0076,1452,5374.0,0.089798,addition,8.8175016,Q2 2002,TRANSPORTS,"","",29.3137
Trinet group inc,TNET,"",3678223.0,266598000.0,0.0066,0.0078,1453,-2491.0,-0.067677,reduction,5.5851424,Q2 2014,CONSUMER DISCRETIONARY,"","",28.63
Continental resources inc,CLR,"",7002259.0,266296000.0,0.0066,0.0039,1454,1367155.0,24.261398,addition,1.9051041,Q2 2007,ENERGY,"","",36.8712
Verint systems inc,VRNT,"",5907598.0,266256000.0,0.0066,0.0073,1455,-26361.0,-0.44424,reduction,9.0887471,Q3 2010,INFORMATION TECHNOLOGY,"","",36.16
Proto labs inc,PRLB,"",2900047.0,266224000.0,0.0066,0.0095,1456,7998.0,0.276551,addition,10.4464552,Q2 2012,CONSUMER DISCRETIONARY,"","",78.1079
Mercadolibre inc,MELI,"",170407.0,265459000.0,0.0066,0.0069,1457,-3720.0,-2.136372,reduction,0.3427909,Q3 2007,COMMUNICATIONS,"","",500.05
Cae inc,CAE,"",8595731.0,264749000.0,0.0066,0.0064,1458,333708.0,4.039059,addition,2.7136931,Q1 2015,INDUSTRIALS,"","",15.3539
Leslies  inc.,LESL,"",9599173.0,263881000.0,0.0066,0.0025,1459,5859151.0,156.66087,addition,5.0702596,Q4 2020,CONSUMER DISCRETIONARY,"","",27.5913
Corcept therapeutics inc,CORT,"",11977384.0,263502000.0,0.0066,0.008,1460,-410343.0,-3.312496,reduction,10.3318660,Q2 2004,HEALTH CARE,"","",13.97
Paramount group inc,PGRE,"",26163938.0,263471000.0,0.0066,0.007,1461,535571.0,2.089759,addition,11.9491316,Q4 2014,REAL ESTATE,"","",16.8973
Office depot inc,ODP,"",5480673.0,263127000.0,0.0065,0.0067,1462,-227634.0,-3.987767,reduction,10.2772476,Q2 2002,CONSUMER DISCRETIONARY,"","",53.95
Vanguard esg us stock etf,ESGV,"",3283583.0,262621000.0,0.0065,0.0064,1463,52443.0,1.623049,addition,No Data,Q3 2018,FINANCE,"","",53.8147
Moog inc class a,MOG.A,"",3123404.0,262552000.0,0.0065,0.0068,1464,78118.0,2.565211,addition,10.6687392,Q2 2002,INDUSTRIALS,"","",47.7221
Cnx resources corporation,CNX,"",19215526.0,262483000.0,0.0065,0.0072,1465,1100465.0,6.074862,addition,8.8176556,Q2 2002,ENERGY,"","",23.6247
Mueller industries inc,MLI,"",6056928.0,262325000.0,0.0065,0.0065,1466,224203.0,3.843881,addition,10.5975962,Q2 2002,INDUSTRIALS,"","",20.0443
Herc holdings inc,HRI,"",2334271.0,261601000.0,0.0065,0.0062,1467,67237.0,2.965858,addition,7.8737493,Q4 2006,TRANSPORTS,"","",59.5866
Forward air corp,FWRD,"",2907162.0,260917000.0,0.0065,0.0069,1468,38557.0,1.344103,addition,10.7273811,Q2 2002,TRANSPORTS,"","",37.7588
International bancshares corp.,IBOC,"",6075665.0,260889000.0,0.0065,0.0075,1469,124473.0,2.091564,addition,9.5872564,Q2 2002,FINANCE,"","",27.9632
Coty inc.,COTY,"",27917601.0,260750000.0,0.0065,0.0067,1470,301809.0,1.092886,addition,3.6440860,Q2 2013,CONSUMER STAPLES,"","",15.4136
Patterson companies  inc.,PDCO,"",8572776.0,260526000.0,0.0065,0.0074,1471,15216.0,0.177808,addition,8.8170165,Q2 2002,HEALTH CARE,"","",33.744
Fisker inc,FSR,"",13509862.0,260471000.0,0.0065,0.0052,1472,2294437.0,20.457869,addition,8.2505459,Q4 2020,CONSUMER DISCRETIONARY,"","",15.5609
Macquarie infrastructure holdings llc,MIC,"",6803915.0,260386000.0,0.0065,0.0056,1473,251934.0,3.845158,addition,7.7447312,Q4 2009,TRANSPORTS,"","",70.1059
Treehouse foods inc,THS,"",5845266.0,260231000.0,0.0065,0.008,1474,210102.0,3.72841,addition,10.4865600,Q2 2005,CONSUMER STAPLES,"","",60.8704
Xperi corp,XPER,"",11693030.0,260053000.0,0.0065,0.0068,1475,158288.0,1.372272,addition,11.1461263,Q4 2003,INFORMATION TECHNOLOGY,"","",19.6061
Barnes group inc,B,"",5051759.0,258903000.0,0.0064,0.0066,1476,116051.0,2.351253,addition,9.9885847,Q2 2002,INDUSTRIALS,"","",33.7514
Edgewell personal care company,EPC,"",5897429.0,258897000.0,0.0064,0.0064,1477,-80126.0,-1.340448,reduction,10.8481861,Q3 2015,INDUSTRIALS,"","",66.16
Green dot corp,GDOT,"",5518048.0,258521000.0,0.0064,0.0066,1478,149900.0,2.792397,addition,10.0981657,Q3 2010,FINANCE,"","",35.3414
Newmarket corp. (albermarle paper manufacturing - ethyl corp.),NEU,"",801175.0,257963000.0,0.0064,0.0082,1479,7472.0,0.94141,addition,7.3313099,Q2 2002,MATERIALS,"","",224.2302
Duck creek technologies  inc.,DCT,"",5928766.0,257960000.0,0.0064,0.0069,1480,283119.0,5.014819,addition,4.5012995,Q3 2020,INFORMATION TECHNOLOGY,"","",44.9098
Cargurus inc,CARG,"",9824612.0,257700000.0,0.0064,0.0063,1481,9245.0,0.094189,addition,9.7727084,Q4 2017,CONSUMER DISCRETIONARY,"","",33.4032
Momentive global inc,MNTV,"",12229281.0,257671000.0,0.0064,0.0058,1482,453094.0,3.847544,addition,8.2903050,Q3 2018,INFORMATION TECHNOLOGY,"","",17.1219
Fuelcell energy inc,FCEL,"",28628330.0,254793000.0,0.0063,0.0085,1483,6739362.0,30.788852,addition,8.8771290,Q2 2002,INDUSTRIALS,"","",12.4171
Minerals technologies inc.,MTX,"",3226829.0,253856000.0,0.0063,0.0064,1484,85380.0,2.717854,addition,9.6056117,Q2 2002,MATERIALS,"","",46.1051
Inovalon holdings inc,INOV,"",7432586.0,253303000.0,0.0063,0.0059,1485,-141303.0,-1.86566,reduction,9.4978215,Q1 2015,INFORMATION TECHNOLOGY,"","",18.88
Sm energy co,SM,"",10258732.0,252672000.0,0.0063,0.0043,1486,437049.0,4.449838,addition,8.4628436,Q2 2002,ENERGY,"","",24.5151
First midwest bancorp  inc.,FMBI,"",12731767.0,252471000.0,0.0063,0.0076,1487,-152995.0,-1.18741,reduction,11.1390113,Q2 2002,FINANCE,"","",20.28
Ttec holdings inc,TTEC,"",2448166.0,252381000.0,0.0063,0.0066,1488,33940.0,1.405834,addition,5.2104903,Q2 2002,INDUSTRIALS,"","",29.8102
Ncino  inc.,NCNO,"",4210780.0,252309000.0,0.0063,0.0066,1489,579251.0,15.950609,addition,4.4122119,Q3 2020,FINANCE,"","",67.0955
